Course Name,Timestamp,Rating,Comment
Data Mining for Business Analytics & Data Analysis in Python,2023-08-06 11:17:40+00:00,5,"Diogo is a very good teacher. I find the overall content of this course very relevant to my day-to-day work. I also highly recommend his other course Business Data analytics, which goes deep into other tools like time-series and RFM."
Decision Making with Problem Solving & Critical Thinking,2023-08-07 12:00:02+00:00,1,didnt like the numbers criteria.. very confusing course
Forecasting Models and Time Series for Business in Python,2023-08-08 17:41:22+00:00,5,Very Nice. Want some more and more  Business related Topics.
Decision Making with Problem Solving & Critical Thinking,2023-08-10 09:29:31+00:00,5,good
Business Data Analytics & Intelligence with Python,2023-08-11 08:08:11+00:00,5,"Like the way examples and challenges are given at the end of each video, helps in understanding the concepts in a more practical way."
Forecasting Models and Time Series for Business in Python,2023-08-14 17:26:24+00:00,4,"The course layout looks good. The instructor, so far, seems pleasant and communicates well. Just on the additional LinkedIn, Facebook, and others involved a bit of verification made things a bit tedious."
Data Mining for Business Analytics & Data Analysis in Python,2023-08-15 14:06:30+00:00,4,"So far, the introduction, the course material and arrangement seems to be good. I held back one star because I feel there is always room for improvement. Cheers!"
Decision Making with Problem Solving & Critical Thinking,2023-08-17 09:41:28+00:00,4,Presentation was amazing.
Decision Making with Problem Solving & Critical Thinking,2023-08-22 14:28:54+00:00,4,yes absolutely
Forecasting Models and Time Series for Business in Python,2023-08-23 17:24:35+00:00,5,The content is very nice
Data Mining for Business Analytics & Data Analysis in Python,2023-08-28 13:40:03+00:00,4,"The four stars of my rating of this course are intended for the originality of the methods used rather than for a precise, deep and comprehensive explanation, analysis and discussion of the methods,  coding or the results. I would have liked citations of the data source as well as weblinks to the additional papers. 

Despite these shortcomings, I enjoyed taking the course that allowed me to add some useful new tools to my toolkit and I would take the course again. Thanks to the author!"
Forecasting Models and Time Series for Business in Python,2023-08-28 14:27:25+00:00,4.5,Love the introduction
Business Data Analytics & Intelligence with Python,2023-08-28 15:35:14+00:00,5,Great Course really enjoyed it - the deep dive into the statistical concepts was exactly what i was looking for. Diogo is also a very good instructor - really enjoyed doing the lessions with him - i think i am going to book his other course on time series in more depth. Great Course all in all - very happy!
Decision Making with Problem Solving & Critical Thinking,2023-08-29 06:39:17+00:00,4.5,nice
Forecasting Models and Time Series for Business in Python,2023-08-29 21:20:51+00:00,5,Great Course! Once Again really enjoyed how Diogo lectured the course. A lot of great insights.
Econometrics and Statistics for Business in R & Python,2023-08-30 08:11:07+00:00,4,"The course is a hands-on course for practice-oriented users. To completely understand the different methods, one needs to use additional study material. I particularly liked the selection of methods presented in this course that, as far as I have discovered, are rare among Udemy courses. I enjoyed taking this course and I thank the author for creating it. :)"
Data Literacy and Business Analytics for Business Leaders,2023-08-31 02:22:02+00:00,5,You can tell Diogo loves the topic and broke down the information carefully
